BSLD_pop,1,-0.431,0.796,-0.805,0.841,0.402,0.26,0.798,-0.839,0.738
beta_BSLD_BLIVER_TRUE,-0.431,1,-0.192,0.199,-0.218,-0.111,-0.0587,-0.209,0.218,-0.185
d_pop,0.796,-0.192,1,-0.917,0.939,0.442,0.409,0.89,-0.937,0.816
g_pop,-0.805,0.199,-0.917,1,-0.952,-0.461,-0.202,-0.846,0.946,-0.84
phi_pop,0.841,-0.218,0.939,-0.952,1,0.47,0.307,0.941,-0.997,0.881
omega_BSLD,0.402,-0.111,0.442,-0.461,0.47,1,0.133,0.439,-0.468,0.393
omega_d,0.26,-0.0587,0.409,-0.202,0.307,0.133,1,0.415,-0.314,0.25
omega_g,0.798,-0.209,0.89,-0.846,0.941,0.439,0.415,1,-0.944,0.82
omega_phi,-0.839,0.218,-0.937,0.946,-0.997,-0.468,-0.314,-0.944,1,-0.883
a,0.738,-0.185,0.816,-0.84,0.881,0.393,0.25,0.82,-0.883,1
