id,importanceSampling
1005,19.239341
1016,48.745190
1022,19.844218
1023,30.879381
1025,32.887314
1031,18.418897
1045,20.521180
1047,17.574927
1048,24.062977
1055,16.736067
1072,17.682843
1080,17.946248
1090,52.743903
1100,11.084814
1102,27.258748
1114,14.328154
1120,60.626646
1122,9.529915
1171,12.303321
1181,37.512339
1189,11.901407
1198,16.170912
1204,20.375443
1207,33.354908
1209,8.981501
1210,9.574504
1230,15.728708
1238,61.103762
1243,34.623363
2013,43.192350
3006,8.601611
3012,16.113891
4005,34.337726
4006,8.621732
4010,17.857520
4022,18.179722
5003,71.515470
5004,21.688284
5006,9.056249
6006,8.648019
7006,15.699384
7010,37.132717
7014,14.751124
8009,10.238024
8013,8.871493
8017,31.082703
8018,54.212037
8020,9.759778
8021,8.724180
