id,importanceSampling
1005,20.617928
1016,44.129193
1022,20.080622
1023,28.834174
1025,38.885942
1031,17.280719
1045,23.012469
1047,17.692551
1048,32.515848
1055,15.825341
1072,17.604835
1080,18.971400
1090,44.491492
1100,10.694405
1102,28.224357
1114,13.819482
1120,60.847276
1122,8.920638
1171,11.840075
1181,37.358608
1189,13.031132
1198,15.958254
1204,20.641342
1207,33.216492
1209,8.978421
1210,8.884672
1230,16.307337
1238,62.074451
1243,33.963481
2013,46.636708
3006,8.950517
3012,16.495287
4005,32.232469
4006,8.890767
4010,17.508922
4022,17.893934
5003,67.361326
5004,22.832790
5006,9.020383
6006,8.891977
7006,16.051944
7010,38.695579
7014,16.555746
8009,9.934767
8013,9.660403
8017,31.092944
8018,53.108727
8020,9.692704
8021,9.402966
