rep,id,eta_beta,eta_delta,eta_p
1,2,0.391777446667983,-0.204640975100411,-0.873756668779016
2,2,1.16297345887216,-0.744366309060747,-2.89975217086586
3,2,-1.25143367403068,0.755914169721894,3.09379070884789
4,2,0.87366034903522,-0.502460094784603,-2.01399132443987
5,2,0.572005138794804,-0.342997718444783,-1.3125308085658
6,2,1.45768203058287,-0.835864580955224,-3.37375923746645
7,2,1.1368402783746,-0.653911137848548,-2.49753151659561
8,2,1.76710128543693,-1.04587255154619,-4.1534466573727
9,2,1.21112100981225,-0.766453294702803,-3.10430178768525
10,2,-0.181535867590518,0.0927944731688719,0.456343844533414
1,3,-0.379266655747594,0.240994094029934,1.01094757703102
2,3,-0.116463737045896,0.0821164571599834,0.156746642881922
3,3,-0.404874869781545,0.252886759505509,0.843125073885163
4,3,-0.56227789693391,0.343522584602176,1.34186036730306
5,3,-1.32165868917816,0.728435237742327,2.9173012106957
6,3,-0.988610341990372,0.592290943677866,2.34870718526982
7,3,-1.15869875580478,0.716696744726538,2.75200380819009
8,3,-0.787878462395861,0.47115960164973,2.01018799673549
9,3,-0.176161783938316,0.0401543964925514,0.309906288394457
10,3,-0.777649806944612,0.420179563536516,2.00125902056624
1,4,0.407436380654334,-0.245747031123873,-0.939686132878911
2,4,-0.138433410249602,0.0716339260934268,0.300798061457443
3,4,0.0818906860969331,-0.0309256483146849,-0.164552040880957
4,4,-0.648154649778465,0.370005895868312,1.50913250449123
5,4,0.268349044228428,-0.12206970227652,-0.582673801857002
6,4,1.33817801151615,-0.798668739479983,-3.13705673244851
7,4,1.34333430109927,-0.797928127880117,-3.18042552338444
8,4,0.0745255669902206,-0.0277927661038064,0.0653716502459173
9,4,-0.00439052421239706,-0.00543590833410578,0.0751330578654924
10,4,0.423111687488765,-0.246162029026247,-1.01844487557472
1,6,-1.51140101304071,0.921613217271306,3.7740026019953
2,6,-1.25595981244402,0.773708310452973,3.2570783371711
3,6,-1.19748318439782,0.694764815380035,2.80841208231788
4,6,-0.0531075396614788,-0.00503601939587719,0.244145438141405
5,6,-1.18813340155745,0.673388278391738,2.77785123272994
6,6,-0.333251723948815,0.178261634256781,0.759867080647228
7,6,-1.33315607324527,0.775622903194422,3.37687248162155
8,6,-1.22099188507951,0.710189348636534,3.00472131693009
9,6,-0.70634587691976,0.370643449054311,1.71980659571936
10,6,-0.585313131799105,0.361408340259855,1.3902688776722
1,7,2.05276639273651,-1.15712543507507,-4.78718719902454
2,7,1.75836267383918,-1.02258791703239,-4.11110788165203
3,7,0.72704686679125,-0.378695784330697,-1.68525601882893
4,7,1.14563707217295,-0.649948476976247,-2.67240118795473
5,7,1.7336616563656,-0.945520214022728,-3.95029726827547
6,7,1.44422722637979,-0.86916890896517,-3.56522113345832
7,7,1.70545027806478,-1.01139529256918,-4.12555869189711
8,7,1.97214673638577,-1.16577590050252,-4.69021078257245
9,7,1.76953470980971,-1.02926066499375,-4.2600600129196
10,7,1.57871671556242,-0.953232357147371,-3.82827783768444
1,8,0.620899220416539,-0.336202320664816,-1.58796551570736
2,8,0.759388276662004,-0.410327211273827,-1.58336322096655
3,8,0.223057427390512,-0.185170696986024,-0.787852519708752
4,8,0.804761406802088,-0.425526134033423,-1.91486100137603
5,8,0.410116340815172,-0.261839405344261,-1.20190849418065
6,8,-0.407638337050815,0.219372104893185,0.952520382630034
7,8,0.0100027565883069,-0.0131298292807437,0.029427825508511
8,8,0.908162396529775,-0.487704658188692,-2.04632960995232
9,8,0.871993896405477,-0.462819741161259,-1.95449500910383
10,8,-0.835329978198082,0.547139616382913,2.15181057553467
1,9,0.523626470788479,-0.333546989031991,-1.40851137310273
2,9,-0.24695742176842,0.130245782202621,0.4361764564802
3,9,-0.311396036153848,0.171463610373727,0.641879178762227
4,9,0.0112176543427331,0.020600622557393,-0.0981412106790321
5,9,0.744816760238493,-0.390340720543186,-1.6621540384296
6,9,0.479073664298786,-0.278859848144591,-1.15667469234622
7,9,0.199220581713175,-0.129748782419506,-0.519033659269681
8,9,0.806841487259232,-0.472249962019443,-1.8731448040613
9,9,0.0898683088896314,-0.0601040165413298,-0.243944358886951
10,9,0.684896983340405,-0.405761450313908,-1.80643377972279
1,11,0.226832209962817,-0.179836498734364,-0.687720456408608
2,11,0.0682843160457734,-0.048903116918695,-0.103326090734752
3,11,0.175744465842405,-0.111482575930691,-0.489494879896569
4,11,0.136464431138143,-0.10427074828441,-0.335943654349989
5,11,-0.323193677698666,0.220547373746198,0.897222736166499
6,11,0.37013734590255,-0.157939483907255,-0.718382073353127
7,11,-0.824256539807825,0.528840556194651,2.05756560320894
8,11,0.214286321932171,-0.152005967819312,-0.5411143808251
9,11,0.160438358333797,-0.0428718816332692,-0.388191975962099
10,11,-0.371118802218936,0.231820980169463,0.830441413497344
1,12,-0.594300671226987,0.364995148968514,1.70041461509808
2,12,0.677194275579598,-0.402944737664224,-1.73898354299665
3,12,1.14553635744384,-0.674206863094239,-2.71449725035855
4,12,-0.661369375179691,0.401294503723766,1.49259798424411
5,12,1.01281489607971,-0.559503111775738,-2.33341377226609
6,12,0.391969352384532,-0.253546983470259,-1.04427423863639
7,12,-1.11618118226326,0.624742665972196,2.74194763516779
8,12,0.835235548997907,-0.506760341809332,-2.12111901508531
9,12,-0.0689051264294104,0.0107747662986356,0.103699457961095
10,12,-0.816352294475187,0.458627587817377,1.99786286557429
1,14,-0.905078643005445,0.498477263315978,2.14316261879667
2,14,-1.54406205275765,0.91132761999124,3.69383007229343
3,14,-1.20226905054225,0.700755822324871,2.82021319150235
4,14,-1.47227796734807,0.84611264390401,3.43547969383564
5,14,-0.00820792793117171,0.00552259609055345,0.0212916637313289
6,14,-1.51350160326547,0.88586330740728,3.63689868294521
7,14,-1.88020700346258,1.07420057208861,4.55211766271669
8,14,-1.22061294352117,0.682482335538732,2.90328472591254
9,14,-1.18770617514022,0.696103112721171,2.75254530698993
10,14,-1.54140524092657,0.97994466829857,3.97353201665237
1,16,-0.990239556221757,0.49574131129941,2.09022526437703
2,16,-0.481341892404899,0.268570744307174,1.11815201933736
3,16,0.5298684186806,-0.310686487039708,-1.30870641363368
4,16,0.843548166615156,-0.545678455664178,-2.08841408182655
