parameter,value,se_sa,rse_sa
beta_pop,31.9482269522943,10.8153316905472,33.8526820492944
delta_pop,0.177069328798929,0.0361749090586695,20.4297996180625
p_pop,0.0203125056913379,0.0160950772548788,79.2372812072238
omega_beta,0.920805557819859,0.0268165055648805,2.91228754400359
omega_delta,0.539833759275112,nan,nan
omega_p,2.22397260910829,nan,nan
corr_delta_beta,-0.998562470947441,0.00379310222915054,-0.379856277349541
corr_p_beta,-0.998970583140494,nan,nan
corr_p_delta,0.998751503422819,0.00334851631050752,0.335270214766318
b,0.37860467515022,0.0230059943275965,6.07652145829112
