id,importanceSampling
1005,19.960659
1016,50.817689
1022,20.403851
1023,29.306080
1025,31.373299
1031,18.464112
1045,19.999005
1047,17.976029
1048,25.088889
1055,16.332263
1072,18.222998
1080,19.027078
1090,51.063959
1100,10.867713
1102,27.908634
1114,13.655220
1120,63.068700
1122,9.013657
1171,11.825267
1181,39.098346
1189,12.958293
1198,16.439777
1204,21.584084
1207,35.546049
1209,9.119555
1210,8.926067
1230,16.503708
1238,64.162159
1243,36.681334
2013,42.762355
3006,8.849379
3012,16.776615
4005,33.328762
4006,8.848764
4010,18.272981
4022,17.743091
5003,70.640191
5004,22.359125
5006,9.176820
6006,8.887083
7006,15.854154
7010,32.687194
7014,15.455669
8009,10.146379
8013,9.199891
8017,32.755411
8018,54.572110
8020,9.914590
8021,9.034640
